ID,Identifiable (si/astilla/huesoplano/fragmin),Site,DATUM,UTM E,UTM N,Unit,Level,Layer,Gral category,Specimen,Segment,Landmark,Taxa,Siding,Gender,Calc age,Trait age,Age appearance,1-trampling,2-cutmarks*,3-furrowing*,4-rootetch,5-rodentgnaw*,6-polish*,7-abrasion,8-gnawing*,9-thermalalt(rank Caceres et al. 2002),10-pigmentation*,11-adherence*,12-weathering(rank),13-chemcorr*,14-FFImorphology,15-FFIangle,16-FFIedge,17-FFItotalscore,18-FHP,2-total frequency,2-max length(mm),2-hertzian cones,2-shoulder effect,2-main axis degree,2-exact location,2-trace directionality,2-concentration,3-total frequency,3-max length(mm),5-total frequency,5-max length(mm),6-abrasion stage (rank),6-abrasion area (rank),6-trace distribution,6-pattern,6-shine/gloss presence,8-morphology and location,8-diameter,8-total frequency,8-depth,8-trace composition,10-colour,10-cover intensity,10-cover area,10-cover morphology,11-adherence material,13-morphology and location,13-alteration degree,13-alteration depth,observations,pathology/trauma,photo,comments,MEASUREMENTS,PROTOCOL,Measurements (NAME;NAME;NAME...) divided by ;,Values (mm;mm;mm...) divided by ;
2,si,H13,WGS84 19S,271261,6417165,P12,4,3,Tetrapodo,metacarpo,distal,epifisis distal,Otariidae,IZQ,M,ADL,fusion completa,ADL,no,no,no,si,no,no,no,no,no,si,si,no,no,transversal,recto,rugoso,6,M,,,,,,,,,,,,,,,,,,,,,,,café,3,4,parche,sedimento,,,,lobo marino,,s/f,mismo metacarpo,SI,L'Hereux y Borella 2011,Bd;Dd,"29,5;17,2"
8,si,H36/37,WGS84 19S,271562,6417478,P3,1,2,Tetrapodo,falange 1º,completo,completo,Lontra felina,IZQ,IND,ADL,fusion completa,ADL,no,no,no,si,no,no,si,no,no,si,si,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,negro,1,1,dendritico,sedimento,,,,falange nutria,,PICT0004,"mustelido posible lontra felina, alta similitud a gato pero el gato tiene un apariencia mas robusta en el aspecto distal de la primera falange",SI,Von den Driesch (1976),GL;Bp;Bd;Dp;Dd,"14;4,5;4;4;2"
12,si,H12,WGS84 19S,272041,6417644,P5,3,2A,Tetrapodo,vertebra lumbar,completo,completo,Rodentia,UNI,IND,ADL,fusion completa,ADL,no,no,no,si,no,no,no,no,no,si,si,no,no,transversal,recto,suave,3,S,,,,,,,,,,,,,,,,,,,,,,,negro,1,1,dendritico,sedimento,,,,roedor grande,,s/f,,SI,Von den Driesch (1976),PL;BFcr;HFcr,"7;4,5;2,2"
17,si,H36/37,WGS84 19S,271562,6417478,PNE,4,2,Tetrapodo,vertebra lumbar,ventral,cuerpo vertebral,Lontra felina,UNI,IND,ADL,fusion completa,ADL,no,no,no,si,no,no,no,no,no,si,si,no,no,transversal,recto,rugoso,6,M,,,,,,,,,,,,,,,,,,,,,,,café,4,4,parche,sedimento,,,,mustelido,,s/f,,SI,Von den Driesch (1976),PL,"13,1"
20,si,H13,WGS84 19S,271261,6417165,P12,5,3A,Tetrapodo,metatarso,proximal,epifisis proximal,Otariidae,DER,M,ADL,fusion completa,ADL,no,no,no,si,no,no,no,no,no,si,si,no,si,transversal,recto,rugoso,6,M,,,,,,,,,,,,,,,,,,,,,,,negro,3,3,parche,sedimento,epifisiaria,1,superficial,falange lobo marino,,s/f,,SI,L'Hereux y Borella 2011,"Bp,Dp","27,5;22,2"
24,si,H13,WGS84 19S,271261,6417165,P12,3,3,Tetrapodo,metacarpo,distal,epifisis distal,Otaria flavescens,DER,IND,ADL,fusion completa,ADL,no,no,no,si,no,no,no,no,no,si,si,no,no,transversal,recto,liso,5,S/M,,,,,,,,,,,,,,,,,,,,,,,café,4,4,parche,sedimento,,,,,,s/f,,SI,L'Hereux y Borella 2011,Dd,19
45,si,H13,WGS84 19S,271261,6417165,P12,5,3A,Tetrapodo,tibiotarso,completo,completo,Leistes cf. Leistes loyca,DER,IND,ADL,fusion completa,ADL,no,no,no,si,no,no,no,no,no,si,si,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,café,1,2,parche,sedimento,,,,,,esp4 - esp5,"especimen semiarticulado de posible sturnella loyca, NO es Veniliornis, Turdus, Cinclodes, Agelasticus o cualquier paseriforme similar a Passer domesticus, de tamaño menor a Turdus falcklandii",SI,Von den Driesch (1976),GL;La;Dip;SC;Bd;Dd,"47,2;46,8;7;2,9;4;3,85"
46,si,H13,WGS84 19S,271261,6417165,P12,5,3A,Tetrapodo,tibiotarso,proximal,epifisis proximal,Leistes cf. Leistes loyca,IZQ,IND,ADL,fusion completa,ADL,no,no,no,si,no,no,no,no,no,si,si,no,no,oblicuo,oblicuo,rugoso,2,S,,,,,,,,,,,,,,,,,,,,,,,café,1,2,parche,sedimento,,,,"fractura postdept, medidas en * estan en el especimen 47",,esp4 - esp5,"especimen semiarticulado de posible sturnella loyca, NO es Veniliornis, Turdus, Cinclodes, Agelasticus o cualquier paseriforme similar a Passer domesticus, de tamaño menor a Turdus falcklandii",SI,Von den Driesch (1976),GL;La;Dip;SC;Bd*;Dd*,"47;46,3;7,1;2,5"
47,si,H13,WGS84 19S,271261,6417165,P12,5,3A,Tetrapodo,tibiotarso,distal,epifisis distal,Leistes cf. Leistes loyca,IZQ,IND,ADL,fusion completa,ADL,no,no,no,si,no,no,no,no,no,si,si,no,no,oblicuo,oblicuo,rugoso,2,S,,,,,,,,,,,,,,,,,,,,,,,café,1,2,parche,sedimento,,,,"mismo especimen que 46, medidas incluidas en la desc de ese especimen",,esp4 - esp5,"especimen semiarticulado de posible sturnella loyca, NO es Veniliornis, Turdus, Cinclodes, Agelasticus o cualquier paseriforme similar a Passer domesticus, de tamaño menor a Turdus falcklandii",SI,Von den Driesch (1976),Bd;Dd,"4;3,9"
48,si,H13,WGS84 19S,271261,6417165,P12,5,3A,Tetrapodo,femur,completo,completo,Leistes cf. Leistes loyca,DER,IND,ADL,fusion completa,ADL,no,no,no,si,no,no,no,no,no,si,si,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,café,1,2,parche,sedimento,,,,,,esp4 - esp5,"especimen semiarticulado de posible sturnella loyca, NO es Veniliornis, Turdus, Cinclodes, Agelasticus o cualquier paseriforme similar a Passer domesticus, de tamaño menor a Turdus falcklandii",SI,Von den Driesch (1976),GL;Lm;Bp;Dp;SC;Bd;Dd,"26,5;25;4,9;2,9;2;5,25;3"
49,si,H13,WGS84 19S,271261,6417165,P12,5,3A,Tetrapodo,femur,completo,completo,Leistes cf. Leistes loyca,IZQ,IND,ADL,fusion completa,ADL,no,no,no,si,no,no,no,no,no,si,si,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,café,1,2,parche,sedimento,,,,,,esp4 - esp5,"especimen semiarticulado de posible sturnella loyca, NO es Veniliornis, Turdus, Cinclodes, Agelasticus o cualquier paseriforme similar a Passer domesticus, de tamaño menor a Turdus falcklandii",SI,Von den Driesch (1976),GL;Lm;Bp;Dp;SC;Bd;Dd,"26,4;24,9;5;3;1,9;5,3;3"
50,si,H13,WGS84 19S,271261,6417165,P12,5,3A,Tetrapodo,tarsometatarso,completo,completo,Leistes cf. Leistes loyca,DER,IND,ADL,fusion completa,ADL,no,no,no,si,no,no,no,no,no,si,si,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,café,1,2,parche,sedimento,,,,,,esp4 - esp5,"especimen semiarticulado de posible sturnella loyca, NO es Veniliornis, Turdus, Cinclodes, Agelasticus o cualquier paseriforme similar a Passer domesticus, de tamaño menor a Turdus falcklandii",SI,Von den Driesch (1976),GL;Bp;SC;Bd,"35;4,1;1,7;3,6"
51,si,H13,WGS84 19S,271261,6417165,P12,5,3A,Tetrapodo,ulna,completo,completo,Leistes cf. Leistes loyca,DER,IND,ADL,fusion completa,ADL,no,no,no,si,no,no,no,no,no,si,si,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,café,1,2,parche,sedimento,,,,,,esp4 - esp5,"especimen semiarticulado de posible sturnella loyca, NO es Veniliornis, Turdus, Cinclodes, Agelasticus o cualquier paseriforme similar a Passer domesticus, de tamaño menor a Turdus falcklandii",SI,Von den Driesch (1976),GL;Dip;Bp;SC;Did,"21,2;3,5;3,8;1,4;3"
52,si,H13,WGS84 19S,271261,6417165,P12,5,3A,Tetrapodo,coxal,completo,completo,Leistes cf. Leistes loyca,DER,IND,ADL,fusion completa,ADL,no,no,no,si,no,no,no,no,no,si,si,no,no,longitudinal,oblicuo,rugoso,2,S,,,,,,,,,,,,,,,,,,,,,,,café,1,2,parche,sedimento,,,,,,esp4 - esp5,"especimen semiarticulado de posible sturnella loyca, NO es Veniliornis, Turdus, Cinclodes, Agelasticus o cualquier paseriforme similar a Passer domesticus, de tamaño menor a Turdus falcklandii",SI,Von den Driesch (1976),DiA,"2,1"
54,si,H13,WGS84 19S,271261,6417165,P12,5,3A,Tetrapodo,coxal,completo,completo,Leistes cf. Leistes loyca,IZQ,IND,ADL,fusion completa,ADL,no,no,no,si,no,no,no,no,no,si,si,no,no,longitudinal,oblicuo,rugoso,2,S,,,,,,,,,,,,,,,,,,,,,,,café,1,2,parche,sedimento,,,,,,esp4 - esp5,"especimen semiarticulado de posible sturnella loyca, NO es Veniliornis, Turdus, Cinclodes, Agelasticus o cualquier paseriforme similar a Passer domesticus, de tamaño menor a Turdus falcklandii",SI,Von den Driesch (1976),DiA,"2,1"
58,si,H13,WGS84 19S,271261,6417165,P11,7,3,Tetrapodo,tibia,completo,completo,Octodontidae,IZQ,IND,JUV,fusion incompleta,JUV,no,no,no,si,no,no,no,no,no,si,si,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,café,2,3,parche,sedimento,,,,,,esp7,"roedor talla mediana, posiblemente spalacopus cyanus",SI,Von den Driesch (1976),SD;Bd;Dd,"3,4;3,7;3"
59,si,H13,WGS84 19S,271261,6417165,P11,7,3,Tetrapodo,femur,completo,completo,Octodontidae,IZQ,IND,JUV,fusion incompleta,JUV,no,no,no,si,no,no,no,no,no,si,si,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,café,2,3,parche,sedimento,,,,,,esp7,"roedor talla mediana, posiblemente spalacopus cyanus",SI,Von den Driesch (1976),Bp;DC;SD,"11,4;3,6;3,4"
60,si,H13,WGS84 19S,271261,6417165,P11,7,3,Tetrapodo,femur,proximal,epifisis proximal,Octodontidae,IZQ,IND,ADL,fusion completa,ADL,no,no,no,si,no,no,no,no,no,si,si,no,no,transversal,oblicuo,liso,3,S,,,,,,,,,,,,,,,,,,,,,,,café,2,3,parche,sedimento,,,,,,esp7,"roedor talla mediana, posiblemente spalacopus cyanus",SI,Von den Driesch (1976),GL;GLC;Bp;DC,"33,2;32,45;7,8;3,75"
61,si,H13,WGS84 19S,271261,6417165,P11,7,3,Tetrapodo,femur,distal,epifisis distal,Octodontidae,IZQ,IND,ADL,fusion completa,ADL,no,no,no,si,no,no,no,no,no,si,si,no,no,transversal,oblicuo,liso,3,S,,,,,,,,,,,,,,,,,,,,,,,café,2,3,parche,sedimento,,,,,,esp7,"roedor talla mediana, posiblemente spalacopus cyanus",SI,Von den Driesch (1976),SD;Bd,"3,5;5,6"
62,si,H13,WGS84 19S,271261,6417165,P11,7,3,Tetrapodo,coxal,lateral,acetabulo,Octodontidae,IZQ,IND,ADL,fusion completa,ADL,no,no,no,si,no,no,no,no,no,si,si,no,no,transversal,oblicuo,liso,3,S,,,,,,,,,,,,,,,,,,,,,,,café,2,3,parche,sedimento,,,,,,esp7,"roedor talla mediana, posiblemente spalacopus cyanus",SI,Von den Driesch (1976),LA;LAR;SH;SB,"4,3;4;3,6;2,6"